Service Stop Date cannot be before Service Start Date,لا يمكن أن يكون تاريخ إيقاف الخدمة قبل تاريخ بدء الخدمة
Service Stop Date cannot be after Service End Date,لا يمكن أن يكون تاريخ إيقاف الخدمة بعد تاريخ انتهاء الخدمة
Cannot change Service Stop Date for item in row {0},لا يمكن تغيير تاريخ إيقاف الخدمة للعنصر الموجود في الصف {0}
Error while processing deferred accounting for {0},@@
Deferred accounting failed for some invoices:,@@
Offsetting for Accounting Dimension,@@
Cannot create accounting entries against disabled accounts: {0},@@
Disabled Account Selected,@@
Debit and Credit not equal for {0} #{1}. Difference is {2}.,المدين و الدائن غير متساوي ل {0} # {1}. الفرق هو {2}.
Please mention Round Off Account in Company,يرجى ذكر حساب التقريب في الشركة
Please mention Round Off Cost Center in Company,يرجى ذكر مركز التكلفة الخاص بالتقريب في الشركة
You are not authorized to add or update entries before {0},غير مصرح لك باضافه إدخالات أو تحديثها قبل {0}\n<br>\nYou are not authorized to add or update entries before {0}
Opening Entry can not be created after Period Closing Voucher is created.,@@
Invalid Opening Entry,إدخال فتح غير صالح
Books have been closed till the period ending on {0},@@
You cannot create/amend any accounting entries till this date.,@@
Period Closed,@@
{0} is mandatory for account {1},@@
Invalid value {0} for {1} against account {2},@@
{0}: {1} does not exists,{0}: {1} غير موجود
Please select a Company,الرجاء اختيار الشركة
There can only be 1 Account per Company in {0} {1},يمكن أن يكون هناك سوى 1 في حساب الشركة في {0} {1}
Due Date cannot be before Posting / Supplier Invoice Date,تاريخ الاستحقاق لا يمكن أن يسبق تاريخ الترحيل/ فاتورة المورد
Note: Due / Reference Date exceeds allowed customer credit days by {0} day(s),ملاحظة: تاريخ الاستحقاق أو المرجع يتجاوز الأيام المسموح بها بالدين للزبون بقدر{0} يوم
Due / Reference Date cannot be after {0},تاريخ الاستحقاق أو المرجع لا يمكن أن يكون بعد {0}
{0} {1} is disabled,{0} {1} معطل
{0} {1} is frozen,{0} {1} مجمد
{0} {1} is not active,{0} {1} غير نشطة
{0} {1} is not in any active Fiscal Year,@@
{0} for {1},{0} ل {1}
{0} '{1}' not in Fiscal Year {2},{0} '{1}' ليس في السنة المالية {2}
Payment Entry has been modified after you pulled it. Please pull it again.,تم تعديل تدوين مدفوعات بعد سحبه. يرجى سحبه مرة أخرى.
Allocated amount cannot be negative,لا يمكن أن يكون المبلغ المخصص سالبًا
Allocated amount cannot be greater than unadjusted amount,لا يمكن أن يكون المبلغ المخصص أكبر من المبلغ غير المعدل
Journal Entries {0} are un-linked,إدخالات قيد اليومية {0} غير مترابطة
There were issues unlinking payment entry {0}.,@@
Please cancel payment entry manually first,@@
Payment Unlink Error,@@
Payment Entries {0} are un-linked,تدوين مدفوعات {0} غير مترابطة
Please set default {0} in Company {1},يرجى تعيين {0} الافتراضي للشركة {1}
"Payment Gateway Account not created, please create one manually.",حساب بوابة الدفع لم يتم انشاءه، يرجى إنشاء واحد يدويا.
{0} Number {1} is already used in {2} {3},{0} الرقم {1} مستخدم بالفعل في {2} {3}
All Accounts,جميع الحسابات
Please set default Exchange Gain/Loss Account in Company {},@@
Currency for {0} must be {1},العملة ل {0} يجب أن تكون {1} \n<br>\nCurrency for {0} must be {1}
Company Not Linked,شركة غير مرتبطة
Company,شركة
Account,حساب
Account is not set for the dashboard chart {0},لم يتم تعيين الحساب لمخطط لوحة المعلومات {0}
Account {0} does not exists in the dashboard chart {1},الحساب {0} غير موجود في مخطط لوحة المعلومات {1}
Chart of Accounts,الشجرة المحاسبية
Please set a Company,الرجاء تعيين شركة
Root Company,شركة الجذر
New Company,شركة جديدة
New Account Name,اسم الحساب الجديد
Account Number,رقم الحساب
"Number of new Account, it will be included in the account name as a prefix",عدد الحساب الجديد، سيتم تضمينه في اسم الحساب كبادئة
Is Group,هل مجموعة
Root Type,نوع الجذر
Account Type,نوع الحساب
Optional. This setting will be used to filter in various transactions.,اختياري . سيتم استخدام هذا الإعداد لفلترت المعاملات المختلفة.
Tax Rate,معدل الضريبة
Currency,العملة
"Optional. Sets company's default currency, if not specified.",اختياري. تحديد العملة الافتراضية للشركة، إذا لم يتم تحديدها.
Chart of Cost Centers,دليل مراكز التكلفة
View,رأي
Opening Invoice Creation Tool,أداة إنشاء فاتورة افتتاحية
Period Closing Voucher,قيد إغلاق الفترة
Journal Entry,القيود اليومية
Create,انشاء
Financial Statements,البيانات المالية
New,جديد
Please add the account to root level Company - {0},@@
Add Child,إضافة الطفل
View Ledger,عرض القيود
This is a root account and cannot be edited.,.هذا حساب جذري و لايمكن تعديله
Merge Account,دمج الحساب
Actions,الإجراءات
Update Account Name / Number,تحديث اسم / رقم الحساب
Convert to Non-Group,تحويل الي تصنيف (غير المجموعه)
General Ledger,دفتر الأستاذ العام
Convert to Group,تحويل إلى تصنيف (مجموعة)
Merge with Existing Account,دمج مع حساب موجود
Merge,دمج
Update Account Number / Name,تحديث رقم الحساب / الاسم
Update,تحديث
Account {0}: Parent account {1} does not exist,الحساب {0}: الحسابه الأب {1} غير موجود
Account {0}: You can not assign itself as parent account,الحساب {0}: لا يمكنك جعله حساب رئيسي
Account {0}: Parent account {1} can not be a ledger,الحساب {0}: الحساب الرئيسي {1} لا يمكن أن يكون حساب دفتر أستاذ
Account {0}: Parent account {1} does not belong to company: {2},الحساب {0}: الحساب الرئيسي {1} لا ينتمي إلى الشركة: {2}
Root cannot be edited.,الجذرلا يمكن تعديل.
The root account {0} must be a group,يجب أن يكون حساب الجذر {0} مجموعة
Please add the account to root level Company - {},الرجاء إضافة الحساب إلى شركة على مستوى الجذر - {}
Account with existing transaction cannot be converted to ledger,لا يمكن تحويل الحساب مع الحركة الموجودة إلى دفتر الأستاذ\n<br>\nAccount with existing transaction cannot be converted to ledger
Cannot covert to Group because Account Type is selected.,لا يمكن تحويل الحساب إلى تصنيف مجموعة لأن نوع الحساب تم اختياره.
Account with child nodes cannot be set as ledger,الحساب لديه حسابات فرعية لا يمكن إضافته لدفتر الأستاذ.\n<br>\nAccount with child nodes cannot be set as ledger
You are not authorized to set Frozen value,.أنت غير مخول لتغيير القيم المجمدة
Currency can not be changed after making entries using some other currency,لا يمكن تغيير العملة بعد إجراء إدخالات باستخدام بعض العملات الأخرى
Account Not Found,الحساب غير موجود
Invalid Parent Account,حساب الوالد غير صالح
Account {0} is added in the child company {1},تتم إضافة الحساب {0} في الشركة التابعة {1}
Account with child nodes cannot be converted to ledger,لا يمكن تحويل الحساب إلى دفتر الأستاذ لأن لديه حسابات فرعية\n<br>\nAccount with child nodes cannot be converted to ledger
Account with existing transaction can not be converted to group.,لا يمكن تحويل حساب جرت عليه أي عملية إلى تصنيف مجموعة
Cannot convert to Group because Account Type is selected.,@@
Root Type is mandatory,نوع الجذر إلزامي\n<br>\nRoot Type is mandatory
Report Type is mandatory,نوع التقرير إلزامي\n<br>\nReport Type is mandatory
Account with existing transaction can not be deleted,الحساب لديه معاملات موجودة لا يمكن حذفه\n<br>\nAccount with existing transaction can not be deleted
Company {0} does not exist,الشركة {0} غير موجودة
Account Number {0} already used in account {1},رقم الحساب {0} بالفعل مستخدم في الحساب {1}
Allow Account Creation Against Child Company,السماح بإنشاء حساب ضد شركة تابعة
Account {0} exists in parent company {1}.,الحساب {0} موجود في الشركة الأم {1}.
"Renaming it is only allowed via parent company {0}, to avoid mismatch.",يُسمح بإعادة تسميته فقط عبر الشركة الأم {0} ، لتجنب عدم التطابق.
"To overrule this, enable '{0}' in company {1}",لإلغاء هذا ، قم بتمكين &quot;{0}&quot; في الشركة {1}
Rename Not Allowed,إعادة تسمية غير مسموح به
Account {0} does not exist,حساب {0} غير موجود
Application of Funds (Assets),استخدام الاموال (الأصول)
Current Assets,أصول متداولة
